Time Stamp (ms), Temp1(T1), Temp2 (T2),Humidity (H), Pressure (P),AccelX (X), AccelY (Y), AccelZ (Z)
288004,33.32,33.35,29.53,12.38,-3.21,-2.81,-2.85
289004,33.31,33.35,29.22,12.40,-3.21,-2.81,-2.85
290004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
291004,33.32,33.35,29.53,12.38,-3.21,-2.81,-2.85
292004,33.31,33.35,29.38,12.38,-3.21,-2.81,-2.85
293004,33.32,33.35,29.53,12.40,-3.21,-2.81,-2.85
294004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
295004,33.32,33.35,29.22,12.38,-3.21,-2.81,-2.85
296004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.85
297005,33.32,33.35,29.06,12.38,-3.21,-2.81,-2.85
298004,33.31,33.35,29.22,12.38,-3.21,-2.81,-2.85
299004,33.32,33.35,29.53,12.40,-3.21,-2.81,-2.85
300004,33.31,33.35,29.38,12.38,-3.21,-2.81,-2.85
301004,33.31,33.35,28.90,12.38,-3.21,-2.81,-2.85
302004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.85
303004,33.31,33.35,28.43,12.38,-3.21,-2.81,-2.85
304004,33.32,33.35,29.22,12.38,-3.21,-2.81,-2.85
305004,33.32,33.35,29.22,12.40,-3.21,-2.81,-2.85
306004,33.31,33.35,28.90,12.38,-3.21,-2.81,-2.85
307004,33.33,33.35,29.38,12.38,-3.21,-2.81,-2.85
308004,33.31,33.35,29.06,12.38,-3.21,-2.81,-2.85
309004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
310004,33.32,33.35,29.22,12.40,-3.21,-2.81,-2.85
311004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
312004,33.33,33.35,29.38,12.40,-3.21,-2.81,-2.85
313005,33.31,33.35,29.06,12.38,-3.21,-2.81,-2.85
314004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
315004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
316004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
317004,33.32,33.35,26.38,12.38,-3.21,-2.81,-2.85
318004,33.33,33.35,28.90,12.38,-3.21,-2.81,-2.85
319004,33.33,33.35,29.22,12.38,-3.21,-2.81,-2.85
320004,33.33,33.35,29.22,12.40,-3.21,-2.81,-2.85
321004,33.33,33.35,29.06,12.40,-3.21,-2.81,-2.85
322004,33.32,33.35,29.06,12.40,-3.21,-2.81,-2.85
